Series,Years,Host,First match,Tests,Australia,England,Drawn,Result,Holder,Ref
1,1882–83,Australia,30 December 1882,3,1,2,0,England,England,[16]
2,1884,England,11 July 1884,3,0,1,2,England,England,[17]
3,1884–85,Australia,12 December 1884,5,2,3,0,England,England,[18]
4,1886,England,5 July 1886,3,0,3,0,England,England,[19]
5,1886-87,Australia,28 January 1887,2,0,2,0,England,England,[20]
6,1887-88,Australia,10 February 1888,1,0,1,0,England,England,[21]
7,1888,England,16 July 1888,3,1,2,0,England,England,[22]
8,1890,England,21 July 1890,2 (3),0,2,0,England,England,[23]
9,1891–92,Australia,1 January 1892,3,2,1,0,Australia,Australia,[24]
10,1893,England,17 July 1893,3,0,1,2,England,England,[25]
11,1894–95,Australia,14 December 1894,5,2,3,0,England,England,[26]
12,1896,England,22 June 1896,3,1,2,0,England,England,[27]
13,1897–98,Australia,13 December 1897,5,4,1,0,Australia,Australia,[28]
14,1899,England,1 June 1899,5,1,0,4,Australia,Australia,[29]
15,1901–02,Australia,13-Dec-01,5,4,1,0,Australia,Australia,[30]
16,1902,England,29-May-02,5,2,1,2,Australia,Australia,[31]
17,1903–04,Australia,11-Dec-03,5,2,3,0,England,England,[32]
18,1905,England,29-May-05,5,0,2,3,England,England,[33]
19,1907–08,Australia,13-Dec-07,5,4,1,0,Australia,Australia,[34]
20,1909,England,27-May-09,5,2,1,2,Australia,Australia,[35]
21,1911–12,Australia,15-Dec-11,5,1,4,0,England,England,[36]
22,1912,England,27-May-12,3,0,1,2,England,England,[37]
23,1920–21,Australia,17-Dec-20,5,5,0,0,Australia,Australia,[38]
24,1921,England,28-May-21,5,3,0,2,Australia,Australia,[39]
25,1924–25,Australia,19-Dec-24,5,4,1,0,Australia,Australia,[40]
26,1926,England,12-Jun-26,5,0,1,4,England,England,[41]
27,1928–29,Australia,30-Nov-28,5,1,4,0,England,England,[42]
28,1930,England,13-Jun-30,5,2,1,2,Australia,Australia,[43]
29,1932–33,Australia,2-Dec-32,5,1,4,0,England,England,[44]
30,1934,England,8-Jun-34,5,2,1,2,Australia,Australia,[45]
31,1936–37,Australia,4-Dec-36,5,3,2,0,Australia,Australia,[46]
32,1938,England,10-Jun-38,4 (5),1,1,2,Drawn,Australia,[47]
33,1946–47,Australia,29-Nov-46,5,3,0,2,Australia,Australia,[48]
34,1948,England,10-Jun-48,5,4,0,1,Australia,Australia,[49]
35,1950–51,Australia,1-Dec-50,5,4,1,0,Australia,Australia,[50]
36,1953,England,11-Jun-53,5,0,1,4,England,England,[51]
37,1954–55,Australia,26-Nov-54,5,1,3,1,England,England,[52]
38,1956,England,7-Jun-56,5,1,2,2,England,England,[53]
39,1958–59,Australia,5-Dec-58,5,4,0,1,Australia,Australia,[54]
40,1961,England,8-Jun-61,5,2,1,2,Australia,Australia,[55]
41,1962–63,Australia,30-Nov-62,5,1,1,3,Drawn,Australia,[56]
42,1964,England,4-Apr-64,5,1,0,4,Australia,Australia,[57]
43,1965–66,Australia,10-Dec-65,5,1,1,3,Drawn,Australia,[58]
44,1968,England,6-Jun-68,5,1,1,3,Drawn,Australia,[59]
45,1970–71,Australia,27-Nov-70,6 (7),0,2,4,England,England,[60]
46,1972,England,8-Jun-72,5,2,2,1,Drawn,England,[61]
47,1974–75,Australia,29-Nov-74,6,4,1,1,Australia,Australia,[62]
48,1975,England,10-Jul-75,4,1,0,3,Australia,Australia,[63]
49,1977,England,16-Jun-77,5,0,3,2,England,England,[64]
50,1978–79,Australia,1-Dec-78,6,1,5,0,England,England,[65]
51,1981,England,18-Jun-81,6,1,3,2,England,England,[66]
52,1982–83,Australia,12-Nov-82,5,2,1,2,Australia,Australia,[67]
53,1985,England,13-Jun-85,6,1,3,2,England,England,[68]
54,1986–87,Australia,14-Nov-86,5,1,2,2,England,England,[69]
55,1989,England,8-Jun-89,6,4,0,2,Australia,Australia,[70]
56,1990–91,Australia,23-Nov-90,5,3,0,2,Australia,Australia,[71]
57,1993,England,3-Jun-93,6,4,1,1,Australia,Australia,[72]
58,1994–95,Australia,25-Nov-94,5,3,1,1,Australia,Australia,[73]
59,1997,England,5-Jun-97,6,3,2,1,Australia,Australia,[74]
60,1998–99,Australia,20-Nov-98,5,3,1,1,Australia,Australia,[75]
61,2001,England,5-Jul-01,5,4,1,0,Australia,Australia,[76]
62,2002–03,Australia,7-Nov-02,5,4,1,0,Australia,Australia,[77]
63,2005,England,21-Jul-05,5,1,2,2,England,England,[78]
64,2006–07,Australia,23-Nov-06,5,5,0,0,Australia,Australia,[79]
65,2009,England,8-Jul-09,5,1,2,2,England,England,[80]
66,2010–11,Australia,25-Nov-10,5,1,3,1,England,England,[81]
67,2013,England,10-Jul-13,5,0,3,2,England,England,[82]
68,2013–14,Australia,21-Nov-13,5,5,0,0,Australia,Australia,[83]
69,2015,England,8-Jul-15,5,2,3,0,England,England,[84]
70,2017–18,Australia,23-Nov-17,5,4,0,1,Australia,Australia,[85]
