Partners,Partnership Career Span,Partnership Career Start,Partnership Career End,Number Of Partnerships,Unbroken Partnerships,Total Partnership Runs,Highest Partnership,Avg Partnership Per Dismissal,Century Partnerships,Fifty Runs And Over Partnerships,Country
"IR Bell, AN Cook",2006-2014,2006,2014,54,2,2118,178,40.73,3,16,England
"EJG Morgan, JE Root",2013-2018,2013,2018,57,1,1955,198,34.91,7,4,England
"AD Hales, JE Root",2014-2018,2014,2018,28,0,1798,248,64.21,5,10,England
"NV Knight, ME Trescothick",2001-2003,2001,2003,46,0,1725,165,37.50,5,8,England
"PD Collingwood, A Flintoff",2001-2009,2001,2009,43,4,1615,174,41.41,2,11,England
"NV Knight, AJ Stewart",1996-2003,1996,2003,46,0,1598,165,34.73,2,11,England
"IR Bell, KP Pietersen",2004-2013,2004,2013,36,3,1525,140,46.21,2,12,England
"N Hussain, NV Knight",1997-2003,1997,2003,33,2,1497,165,48.29,5,5,England
"PD Collingwood, KP Pietersen",2004-2010,2004,2010,41,2,1466,136,37.58,2,9,England
"IR Bell, IJL Trott",2010-2013,2010,2013,28,1,1320,167,48.88,5,6,England
"AD Hales, JJ Roy",2015-2018,2015,2018,39,1,1305,256*,34.34,3,5,England
"NH Fairbrother, GA Hick",1991-1999,1991,1999,25,2,1304,213,56.69,3,7,England
"DI Gower, AJ Lamb",1982-1991,1982,1991,34,0,1250,159,36.76,2,5,England
"AJ Strauss, ME Trescothick",2003-2006,2003,2006,28,1,1230,192*,45.55,3,7,England
"JC Buttler, JE Root",2013-2018,2013,2018,33,2,1125,175,36.29,3,4,England
"MW Gatting, AJ Lamb",1982-1989,1982,1989,29,3,1074,115,41.30,2,6,England
"JC Buttler, EJG Morgan",2013-2018,2013,2018,28,1,1044,161*,38.66,2,6,England
"JE Root, JJ Roy",2015-2018,2015,2018,14,1,1009,221,77.61,4,4,England
"EJG Morgan, BA Stokes",2014-2018,2014,2018,20,2,974,159,54.11,2,7,England
"IR Bell, AJ Strauss",2004-2011,2004,2011,22,0,961,170,43.68,3,4,England
"PD Collingwood, OA Shah",2002-2009,2002,2009,27,2,942,163,37.68,1,6,England
"EJG Morgan, IJL Trott",2009-2013,2009,2013,17,3,935,118,66.78,4,4,England
