Country,Avg Runs Per Wicket Bowling,Avg Runs Per Six Balls Bowling,Number Of Team Innings Bowling,Highest Team Score Bowling,Lowest Completed Score Bowling
England,30.24,4.77,703,398,45
Australia,26.88,4.64,905,438,45
South Africa,26.97,4.72,581,434,43
West Indies,29.03,4.62,769,439,43
New Zealand,29.85,4.76,735,408,69
India,30.65,4.92,926,438,58
Pakistan,28.80,4.73,877,444,64
Sri Lanka,30.80,4.89,807,414,35
Zimbabwe,35.30,5.03,504,418,58
Bangladesh,33.92,5.06,339,391,44
Ireland,29.82,4.96,131,411,91
Afghanistan,26.53,4.67,96,417,54
