Country,Avg Runs Per Wicket Bowling,Avg Runs Per Six Balls Bowling,Number Of Team Innings Bowling,Highest Team Score Bowling,Lowest Completed Score Bowling
England,24.73,8.14,99,248,79
Australia,22.83,7.87,100,243,74
South Africa,21.44,7.81,103,236,80
West Indies,23.69,7.85,98,244,68
New Zealand,22.75,7.94,110,245,70
India,22.51,7.72,98,245,80
Pakistan,20.20,7.25,128,211,60
Sri Lanka,23.14,7.75,108,263,39
Zimbabwe,26.65,8.05,56,215,75
Netherlands,19.16,7.05,45,189,69
Hong Kong,20.45,7.34,24,189,72
P.N.G.,18.92,6.85,9,180,93
Bangladesh,26.22,8.00,77,224,72
U.A.E.,23.17,7.48,26,189,102
Ireland,18.83,7.15,59,233,53
Scotland,21.91,7.61,43,211,78
Oman,26.57,7.53,16,180,87
Afghanistan,21.17,7.40,66,225,56
